"nid" "centrality"
"1" "30842" "5.57260588383293e-09"
"2" "30843" "1.42449634385877e-15"
"3" "30846" "2.02753109272367e-17"
"4" "30848" "2.72060341242178e-10"
"5" "30849" "1.62202487417893e-17"
"6" "30851" "2.93592140701084e-11"
"7" "30857" "6.28265473147317e-10"
"8" "30865" "1.11270699535143e-11"
"9" "30868" "3.53540230497663e-12"
"10" "30870" "1.72480670702888e-09"
"11" "30872" "1.62202487417893e-17"
"12" "30874" "3.30800365078291e-11"
"13" "30875" "1.62202487417893e-17"
"14" "30876" "1.62202487417893e-17"
"15" "30877" "8.46040716929677e-10"
"16" "30878" "2.81046098663465e-08"
"17" "30881" "2.08707559381471e-08"
"18" "30882" "1.6799264957451e-13"
"19" "30889" "2.58635570065216e-08"
"20" "30890" "6.18396983280718e-17"
"21" "30893" "8.11012437089467e-17"
"22" "30895" "1.62202487417893e-17"
"23" "30896" "4.5366008199692e-17"
"24" "30897" "1.62202487417893e-17"
"25" "30901" "4.2844964260824e-11"
"26" "30905" "6.18396983280718e-17"
"27" "30908" "9.1424173326166e-10"
"28" "30909" "1.62202487417893e-17"
"29" "30914" "3.38095528577748e-09"
"30" "30917" "1.75447165662382e-16"
"31" "30923" "2.02753109272367e-17"
"32" "30927" "3.3080597452818e-11"
"33" "30932" "1.62202487417893e-17"
"34" "30936" "5.67708705962627e-17"
"35" "30940" "1.62202487417893e-17"
"36" "30944" "2.16636604838092e-11"
"37" "30950" "3.6495559669026e-17"
"38" "30957" "1.04394016631676e-09"
"39" "30964" "1.65910025148839e-10"
"40" "30976" "3.6495559669026e-17"
"41" "30984" "1.72580742409549e-10"
"42" "30985" "1.49211861984146e-13"
"43" "30989" "1.78299426520154e-13"
"44" "31006" "1.29593041659613e-12"
"45" "31007" "7.97475244176992e-12"
"46" "31009" "1.62202487417893e-17"
"47" "31012" "1.04394016631676e-09"
"48" "31026" "1.62202487417893e-17"
"49" "31030" "1.62202487417893e-17"
"50" "31032" "1.95437605610902e-08"
"51" "31034" "3.6495559669026e-17"
"52" "31037" "1.87300655246325e-08"
"53" "31044" "1.62202487417893e-17"
"54" "31046" "1.46050763605838e-10"
"55" "31052" "8.44796419836366e-09"
"56" "31053" "2.63567329361032e-09"
"57" "31072" "3.6495559669026e-17"
"58" "31073" "1.33120088306638e-16"
"59" "31075" "1.62202487417893e-17"
"60" "31076" "1.62202487417893e-17"
"61" "31083" "7.13964515116454e-11"
"62" "31097" "9.18459277217316e-10"
"63" "31101" "4.47324047332159e-17"
"64" "31102" "4.56194495862825e-17"
"65" "31105" "1.62202487417893e-17"
"66" "31111" "3.6495559669026e-17"
"67" "31112" "1.0567967516817e-14"
"68" "31113" "5.13447147959255e-08"
