"nid" "centrality"
"1" "30831" "0.0013030893922309"
"2" "30834" "2.46702520864412e-12"
"3" "30838" "0.0021244867956671"
"4" "30839" "0.0127404211046085"
"5" "30842" "2.31565089033163e-07"
"6" "30843" "3.74281528033924e-16"
"7" "30844" "2.70154318435156e-07"
"8" "30845" "0.00344525401320329"
"9" "30846" "5.42767755175479e-19"
"10" "30849" "3.10153002957416e-19"
"11" "30854" "0.00113736885740716"
"12" "30859" "2.99577158552435e-09"
"13" "30860" "1.71186947726525e-09"
"14" "30866" "1.07767135386747e-05"
"15" "30868" "1.74514548656748e-12"
"16" "30872" "3.10153002957416e-19"
"17" "30873" "0.0702341477109056"
"18" "30875" "3.10153002957416e-19"
"19" "30876" "3.10153002957416e-19"
"20" "30877" "3.77614175094724e-07"
"21" "30879" "0.0194104081967213"
"22" "30881" "4.94275180412464e-06"
"23" "30884" "0.0247463685418415"
"24" "30885" "0.0329951580557887"
"25" "30886" "8.29918110477967e-05"
"26" "30887" "4.39618533550196e-05"
"27" "30889" "8.56896326019723e-08"
"28" "30890" "1.80276432968998e-18"
"29" "30893" "2.17107102070191e-18"
"30" "30895" "3.10153002957416e-19"
"31" "30897" "3.10153002957416e-19"
"32" "30905" "1.80276432968998e-18"
"33" "30908" "8.70670257437081e-08"
"34" "30909" "3.10153002957416e-19"
"35" "30910" "1.96443132935605e-10"
"36" "30914" "5.03483676121992e-07"
"37" "30918" "0.0124678190887131"
"38" "30921" "0.00161551928435006"
"39" "30923" "5.42767755175479e-19"
"40" "30924" "0.00264238148408118"
"41" "30932" "3.10153002957416e-19"
"42" "30934" "0.00659383815754616"
"43" "30935" "0.00929642525857534"
"44" "30936" "1.39568851330837e-18"
"45" "30939" "0.0121246990976151"
"46" "30940" "3.10153002957416e-19"
"47" "30944" "5.99355951388985e-10"
"48" "30945" "4.24016539090635e-08"
"49" "30948" "0.0237938796111328"
"50" "30949" "3.73200641723171e-12"
"51" "30950" "8.52920758132895e-19"
"52" "30952" "3.39846710728068e-07"
"53" "30953" "8.52955235107195e-07"
"54" "30957" "2.21827846454553e-07"
"55" "30959" "0.00447274989183321"
"56" "30964" "4.7252554540577e-07"
"57" "30968" "3.18159996334595e-09"
"58" "30970" "4.22782800177714e-07"
"59" "30973" "0.000797030765859814"
"60" "30975" "0.0107050958170897"
"61" "30976" "8.52920758132895e-19"
"62" "30978" "0.000319663137400892"
"63" "30979" "0.000182664649943367"
"64" "30981" "0.000468037572222895"
"65" "30983" "0.0638340913646076"
"66" "30986" "4.82933681869711e-05"
"67" "30987" "0.054743459961779"
"68" "30988" "0.00535821801879531"
"69" "30990" "4.80562587402689e-05"
"70" "30996" "3.73201081271925e-05"
"71" "31001" "0.00048826064725621"
"72" "31002" "3.74379469491885e-10"
"73" "31003" "1.50088660199773e-11"
"74" "31004" "8.57649486855844e-12"
"75" "31005" "0.00206545005114092"
"76" "31009" "3.10153002957416e-19"
"77" "31012" "2.21827846454553e-07"
"78" "31019" "0.0184600512802928"
"79" "31021" "1.81572308760219e-05"
"80" "31022" "0.0243498947356284"
"81" "31026" "3.10153002957416e-19"
"82" "31030" "3.10153002957416e-19"
