"nid" "centrality"
"1" "30833" "0.00150634043811119"
"2" "30834" "1.57218689165624e-10"
"3" "30835" "1.49064514744352e-10"
"4" "30843" "8.22680396065816e-15"
"5" "30844" "7.47309471346911e-05"
"6" "30845" "0.0418718747792605"
"7" "30846" "9.81099831985879e-19"
"8" "30849" "6.54066554657253e-19"
"9" "30850" "0.00555284154291069"
"10" "30854" "0.00951407472475678"
"11" "30856" "0.000733191280227648"
"12" "30857" "5.98639101525977e-08"
"13" "30858" "3.14448146217181e-10"
"14" "30859" "6.97946680467402e-08"
"15" "30860" "4.65297786973908e-08"
"16" "30866" "0.000173585925845252"
"17" "30870" "1.94114199304026e-07"
"18" "30872" "6.54066554657253e-19"
"19" "30874" "4.25118294618914e-10"
"20" "30875" "6.54066554657253e-19"
"21" "30876" "6.54066554657253e-19"
"22" "30877" "1.90047725044135e-07"
"23" "30882" "1.6843196664264e-09"
"24" "30884" "0.133702079604134"
"25" "30885" "0.267404159208269"
"26" "30887" "0.00180007854449789"
"27" "30890" "3.10681613462195e-18"
"28" "30893" "3.92439932794352e-18"
"29" "30895" "6.54066554657253e-19"
"30" "30897" "6.54066554657253e-19"
"31" "30905" "3.10681613462195e-18"
"32" "30909" "6.54066554657253e-19"
"33" "30910" "2.97619069525987e-10"
"34" "30914" "3.80049498079711e-07"
"35" "30918" "0.0936752881161552"
"36" "30919" "0.000177248528539716"
"37" "30920" "0.00388060371593691"
"38" "30923" "9.81099831985879e-19"
"39" "30924" "0.0130205385368135"
"40" "30927" "4.25118344491488e-10"
"41" "30932" "6.54066554657253e-19"
"42" "30933" "0.011448274762552"
"43" "30936" "2.61626621862901e-18"
"44" "30938" "2.09632097042076e-10"
"45" "30940" "6.54066554657253e-19"
"46" "30941" "0.000510974181664157"
"47" "30944" "4.88514065442705e-08"
"48" "30945" "3.46390848489694e-08"
"49" "30947" "0.00122026830068212"
"50" "30950" "1.63516638664313e-18"
"51" "30952" "1.19215510807612e-06"
"52" "30953" "1.9021896330005e-06"
"53" "30958" "6.15760573572391e-05"
"54" "30959" "0.0172910684926018"
"55" "30960" "0.00221678007632183"
"56" "30964" "6.50726185763899e-07"
"57" "30967" "1.14286064391903e-10"
"58" "30968" "1.23408090598365e-07"
"59" "30970" "2.77864440522276e-06"
"60" "30973" "0.00106553198056149"
"61" "30976" "1.63516638664313e-18"
"62" "30978" "0.00266205341562473"
"63" "30979" "0.00177470227708315"
"64" "30983" "0.260257906654265"
"65" "30985" "4.1456420937378e-11"
"66" "30988" "0.0332144570550677"
"67" "30995" "0.000103708516749777"
"68" "31001" "0.000289324792502882"
"69" "31002" "6.34447970231141e-09"
"70" "31003" "1.66029490309384e-10"
"71" "31004" "1.10686326872923e-10"
"72" "31005" "0.0138329483183945"
"73" "31007" "1.75144256060976e-10"
"74" "31009" "6.54066554657253e-19"
"75" "31011" "0.00945724034898965"
"76" "31014" "0.0149793527164057"
"77" "31026" "6.54066554657253e-19"
"78" "31028" "0.000316813439597988"
"79" "31030" "6.54066554657253e-19"
"80" "31034" "1.63516638664313e-18"
"81" "31040" "0.000141351030768895"
"82" "31044" "6.54066554657253e-19"
"83" "31045" "0.41428876994564"
"84" "31046" "5.89935286149467e-07"
"85" "31049" "0.0114848813608498"
"86" "31052" "8.22591564457022e-06"
"87" "31054" "1.50625603211561e-08"
"88" "31055" "9.7833580710257e-07"
"89" "31059" "0.0010370053014015"
"90" "31063" "0.0242817702717676"
"91" "31064" "0.00289627299581156"
"92" "31067" "0.0598895367882594"
"93" "31069" "0.960436458381844"
"94" "31070" "0.0319413238282917"
"95" "31071" "0.00415897638990955"
"96" "31072" "1.63516638664313e-18"
"97" "31073" "8.62550268954252e-18"
"98" "31076" "6.54066554657253e-19"
"99" "31080" "5.84608416167081e-05"
"100" "31083" "1.03934221845226e-08"
"101" "31092" "0.000118403743540563"
"102" "31095" "8.69345300547348e-07"
"103" "31102" "2.4527495799647e-18"
"104" "31105" "6.54066554657253e-19"
"105" "31108" "0.139577834223977"
"106" "31110" "0.0975129654651192"
"107" "31111" "1.63516638664313e-18"
"108" "31114" "0.0455052506517041"
"109" "31118" "8.47036329840494e-09"
"110" "31119" "0.00675345283130073"
"111" "31127" "1.85957722654546e-07"
"112" "31132" "1.3840127057637e-05"
"113" "31135" "1.63516638664313e-18"
"114" "31136" "3.44036385076046e-05"
"115" "31139" "6.54066554657253e-19"
"116" "31148" "1.92913400353437e-08"
"117" "31149" "0.000478174998402119"
"118" "31153" "1.60436704970568e-05"
"119" "31154" "1.10686326218856e-10"
"120" "31157" "6.54066554657253e-19"
"121" "31158" "1.50469752109607e-06"
"122" "31160" "5.89173567084129e-05"
"123" "31161" "0.00053987124106297"
"124" "31162" "1.63516638664313e-18"
"125" "31163" "9.01349526970366e-05"
"126" "31164" "0.139916932816123"
"127" "31170" "6.54066554657253e-19"
"128" "31171" "1.70209594110085e-05"
"129" "31172" "3.09394052829279e-05"
"130" "31175" "0.00100538417415965"
"131" "31176" "4.45004247180324e-11"
"132" "31178" "0.000316823213428901"
"133" "31179" "0.139087512316906"
"134" "31180" "6.54066554657253e-19"
"135" "31182" "0.00670553932831021"
"136" "31189" "0.000214439153436999"
"137" "31193" "6.34614420197612e-11"
"138" "31197" "1.63516638664313e-18"
"139" "31200" "1.80760161260147e-06"
"140" "31204" "1.42213270599083e-08"
"141" "31205" "5.58038583832206e-08"
"142" "31206" "5.66942087068411e-11"
"143" "31208" "0.226950960880752"
"144" "31211" "1.01052487068438e-05"
"145" "31214" "0.065027543832708"
"146" "31217" "1.63516638664313e-18"
"147" "31220" "3.0853186103125e-08"
"148" "31227" "6.86962206929737e-07"
"149" "31228" "0.00303764025389195"
"150" "31229" "0.00308464201082556"
"151" "31230" "1.78609872253488e-06"
"152" "31232" "0.0108004610539439"
"153" "31236" "0.00150633671155511"
"154" "31237" "0.00592373391383099"
"155" "31239" "0.000691336553603339"
"156" "31240" "1.63516638664313e-18"
"157" "31241" "0.00505975494063899"
"158" "31246" "6.54066554657253e-19"
"159" "31247" "0.00426770565776683"
"160" "31248" "1.78094571296379e-08"
"161" "31250" "0.00138278359005128"
"162" "31251" "1.63516638664313e-18"
"163" "31255" "6.54066554657253e-19"
"164" "31259" "6.54066554657253e-19"
"165" "31263" "8.22764381794425e-09"
"166" "31265" "6.37481047017884e-05"
"167" "31268" "0.182074712916352"
"168" "31269" "0.110000952854113"
"169" "31271" "0.921691302454603"
"170" "31272" "0.0232566536847845"
"171" "31273" "6.54066554657253e-19"
"172" "31276" "9.26270331841433e-05"
