30828	30993
30828	39124
30828	39261
30993	39124
30993	39261
39124	39261
30828	31952
30828	32487
30828	40023
31952	32487
31952	40023
32487	40023
30828	34712
30828	32929
30828	39483
32929	39483
30828	38048
30828	34792
30828	38436
30828	40072
30828	45202
30828	49185
34792	38436
34792	40072
34792	45202
34792	49185
38436	40072
38436	45202
38436	49185
40072	45202
40072	49185
45202	49185
30828	34708
30828	39375
30828	51547
34708	39375
34708	51547
39375	51547
30828	32928
30828	39483
32928	39483
30828	33178
30828	33219
30828	40317
30828	41462
30828	41606
33178	33219
33178	40317
33178	41462
33178	41606
33219	40317
33219	41462
33219	41606
40317	41462
40317	41606
41462	41606
30828	32767
30828	47425
32767	47425
30828	33646
30828	35188
30828	35334
33646	35188
33646	35334
35188	35334
30828	31772
30828	41495
31772	41495
30828	40613
30828	34358
30828	41915
30828	45060
30828	48319
34358	41915
34358	45060
34358	48319
41915	45060
41915	48319
45060	48319
30828	32192
30828	41057
30828	46323
32192	41057
32192	46323
41057	46323
30828	31772
30828	35839
30828	36972
30828	39082
30828	40462
31772	35839
31772	36972
31772	39082
31772	40462
35839	36972
35839	39082
35839	40462
36972	39082
36972	40462
39082	40462
30828	31772
30828	33624
30828	36173
30828	37811
30828	39375
30828	40094
30828	41104
30828	41316
30828	42691
31772	33624
31772	36173
31772	37811
31772	39375
31772	40094
31772	41104
31772	41316
31772	42691
33624	36173
33624	37811
33624	39375
33624	40094
33624	41104
33624	41316
33624	42691
36173	37811
36173	39375
36173	40094
36173	41104
36173	41316
36173	42691
37811	39375
37811	40094
37811	41104
37811	41316
37811	42691
39375	40094
39375	41104
39375	41316
39375	42691
40094	41104
40094	41316
40094	42691
41104	41316
41104	42691
41316	42691
30828	34636
30828	42429
34636	42429
30828	31114
30828	34954
30828	35375
30828	41792
30828	47787
30828	48243
31114	34954
31114	35375
31114	41792
31114	47787
31114	48243
34954	35375
34954	41792
34954	47787
34954	48243
35375	41792
35375	47787
35375	48243
41792	47787
41792	48243
47787	48243
30828	33219
30828	34682
30828	34792
30828	34901
30828	38877
30828	40072
30828	41271
30828	41599
30828	45024
30828	46029
30828	46845
30828	46899
30828	48243
30828	50274
33219	34682
33219	34792
33219	34901
33219	38877
33219	40072
33219	41271
33219	41599
33219	45024
33219	46029
33219	46845
33219	46899
33219	48243
33219	50274
34682	34792
34682	34901
34682	38877
34682	40072
34682	41271
34682	41599
34682	45024
34682	46029
34682	46845
34682	46899
34682	48243
34682	50274
34792	34901
34792	38877
34792	40072
34792	41271
34792	41599
34792	45024
34792	46029
34792	46845
34792	46899
34792	48243
34792	50274
34901	38877
34901	40072
34901	41271
34901	41599
34901	45024
34901	46029
34901	46845
34901	46899
34901	48243
34901	50274
38877	40072
38877	41271
38877	41599
38877	45024
38877	46029
38877	46845
38877	46899
38877	48243
38877	50274
40072	41271
40072	41599
40072	45024
40072	46029
40072	46845
40072	46899
40072	48243
40072	50274
41271	41599
41271	45024
41271	46029
41271	46845
41271	46899
41271	48243
41271	50274
41599	45024
41599	46029
41599	46845
41599	46899
41599	48243
41599	50274
45024	46029
45024	46845
45024	46899
45024	48243
45024	50274
46029	46845
46029	46899
46029	48243
46029	50274
46845	46899
46845	48243
46845	50274
46899	48243
46899	50274
48243	50274
30828	31857
30828	33394
30828	35238
30828	36403
30828	37448
30828	37983
30828	37985
30828	38501
30828	38569
30828	38928
30828	40270
30828	40636
31857	33394
31857	35238
31857	36403
31857	37448
31857	37983
31857	37985
31857	38501
31857	38569
31857	38928
31857	40270
31857	40636
33394	35238
33394	36403
33394	37448
33394	37983
33394	37985
33394	38501
33394	38569
33394	38928
33394	40270
33394	40636
35238	36403
35238	37448
35238	37983
35238	37985
35238	38501
35238	38569
35238	38928
35238	40270
35238	40636
36403	37448
36403	37983
36403	37985
36403	38501
36403	38569
36403	38928
36403	40270
36403	40636
