"investors"	"companies"	"time"
30881	205	"2013-12"
30881	206	"2013-12"
30882	207	"2005-03"
30882	208	"2005-02"
30882	209	"2005-06"
30882	210	"2004-06"
30882	210	"2008-02"
30882	211	"2005-12"
30882	212	"2013-11"
30882	213	"2011-08"
30882	214	"2005-04"
30882	215	"2009-04"
30882	216	"2006-05"
30882	217	"2006-05"
30882	218	"2006-05"
30882	219	"2006-03"
30882	220	"2005-08"
30882	220	"2008-09"
30882	221	"2005-09"
30882	221	"2007-03"
30882	222	"2006-04"
30882	223	"2006-06"
30882	224	"2011-04"
30882	225	"2013-11"
30882	226	"2011-12"
30882	227	"2011-07"
30882	228	"2011-05"
30882	229	"2006-01"
30882	229	"2007-05"
30882	230	"2005-08"
30882	231	"2009-04"
30882	231	"2008-01"
30882	232	"2008-05"
30882	233	"2006-01"
30882	234	"2003-11"
30882	235	"2005-08"
30882	236	"2006-06"
30882	237	"2008-08"
30882	237	"2005-03"
30882	237	"2004-01"
30882	238	"2008-12"
30882	239	"2007-05"
30882	240	"2004-07"
30882	241	"2005-12"
30882	241	"2007-05"
30882	242	"2004-01"
30882	242	"2002-06"
30882	242	"2001-07"
30882	243	"2007-08"
30882	244	"2005-08"
30882	244	"2007-07"
30882	245	"2006-08"
30882	246	"2006-09"
30882	247	"2006-07"
30882	248	"2011-07"
30882	249	"2006-11"
30882	250	"2003-07"
30882	251	"2008-01"
30882	252	"2004-01"
30882	252	"2007-04"
30882	252	"2010-03"
30882	253	"2007-10"
30882	254	"2007-05"
30882	255	"2005-03"
30882	255	"2005-10"
30882	256	"2007-09"
30882	257	"2008-06"
30882	258	"2006-09"
30882	259	"2008-02"
30882	260	"2006-06"
30882	261	"2008-01"
30882	261	"2006-07"
30882	261	"2008-02"
30882	262	"2007-01"
30882	262	"2004-01"
30882	263	"2005-05"
30882	264	"2005-01"
30882	264	"2007-05"
30882	265	"2007-10"
30882	265	"2009-09"
30882	266	"2000-01"
30882	267	"2006-12"
30882	268	"2006-04"
30882	268	"2008-06"
30882	268	"2007-04"
30882	268	"2009-04"
30882	269	"2005-04"
30882	269	"2007-02"
30882	78	"2005-09"
30882	270	"2008-09"
30882	270	"2007-05"
30882	270	"2006-12"
30882	270	"2006-03"
30882	271	"2006-01"
30882	272	"2002-12"
30882	273	"2008-10"
30882	274	"2001-05"
30882	275	"2009-06"
30882	276	"2007-12"
30882	277	"2005-01"
30882	278	"2005-02"
30882	279	"2006-07"
30882	279	"2009-07"
30882	279	"2007-10"
30882	280	"2005-08"
30882	281	"2008-04"
30882	282	"2006-12"
30882	283	"2006-10"
30882	284	"2014-08"
30882	285	"2008-03"
30883	286	"2013-11"
30883	287	"2014-03"
30884	288	"2011-03"
30884	286	"2011-05"
30884	289	"2012-01"
30884	290	"2011-09"
30884	291	"2010-01"
30884	292	"2012-07"
30884	293	"2010-10"
30884	294	"2011-05"
30884	295	"2013-10"
30884	296	"2014-08"
30884	297	"2012-05"
30885	298	"2013-02"
30885	299	"2013-09"
30885	300	"2014-03"
30885	301	"2012-10"
30886	302	"2012-10"
30887	303	"2008-05"
30887	304	"2009-11"
30887	305	"2008-01"
30887	306	"2014-06"
30887	307	"2011-03"
30887	308	"2011-12"
30887	107	"2014-03"
30887	309	"2014-09"
30887	309	"2012-04"
30887	310	"2007-11"
30887	311	"2004-11"
30887	311	"2005-12"
30888	312	"2009-12"
30888	313	"2010-10"
30888	314	"2011-10"
30889	315	"2009-01"
30890	316	"2002-11"
30891	317	"2010-10"
30892	318	"2009-09"
30892	319	"2013-01"
30892	320	"2006-01"
30892	321	"2010-04"
30892	322	"2006-01"
30892	323	"2008-11"
30893	324	"2012-12"
30893	324	"2014-01"
30893	325	"2013-10"
30893	326	"2013-04"
30893	326	"2014-04"
30893	327	"2014-03"
30893	327	"2012-10"
30893	328	"2014-09"
30894	329	"2014-06"
30895	330	"2014-08"
30896	331	"2011-11"
30897	332	"2014-07"
30898	333	"2013-06"
30899	334	"2009-01"
