Node1	Node2	AdamicAdar	WeightedKatz	IsEdge
38396	44262	10.5325566001	51.4425	1
36709	41623	0.668517816755	2.7075	1
32042	44873	6.56435946241	27.075	1
31446	48682	7.05695567805	24.3675	1
49601	50289	2.20404927135	9.9275	1
32602	34909	2.71797430913	9.025	1
31939	49702	4.52911112248	14.44	1
30938	50479	14.0269107813	65.8825	1
39317	43709	1.83475865303	6.3175	1
40016	51905	2.52111039451	9.9275	1
36017	43393	12.9400342729	64.0775	1
36930	44494	1.7108522933	5.415	1
35135	44496	3.61323215876	8.1225	1
36392	38656	19.4239259325	94.7625	1
41875	46003	8.09461569729	39.71	1
47379	48629	8.61340850173	40.6125	1
36626	39460	2.11217017483	9.9275	1
30999	31087	19.2324264958	89.3475	1
34509	38093	8.16565614926	33.3925	1
34543	34837	6.27333215672	31.5875	1
32508	40366	15.2289260072	60.4675	1
35604	35634	0.682373563374	2.7075	1
38077	42263	1.91541261217	4.5125	1
32038	32147	1.04428539984	2.7075	1
35387	38257	2.57890721703	10.83	1
35671	38550	5.51793065213	14.44	1
34670	40991	1.8649134617	5.415	1
32994	36376	0.849317302771	1.805	1
43636	47554	6.75135555943	27.9775	1
31120	36926	12.7394826939	52.345	1
39452	39564	4.14322199073	12.635	1
32089	41971	0.586101296003	1.805	1
37447	37950	1.75652824136	8.1225	1
35757	46317	4.72940570989	12.635	1
32626	42260	0.227559806657	0.9025	1
33624	39842	6.06077516767	28.88	1
30967	39131	1.86574491058	6.3175	1
41089	50972	2.8114355973	8.1225	1
35757	36089	7.19128371905	32.49	1
31726	40466	1.14785524514	3.61	1
34837	36392	19.1962895031	94.7625	1
36135	37269	0.860431946432	2.7075	1
42727	51510	3.38046931203	13.5375	1
34900	50380	4.26340130186	18.05	1
39955	51493	2.89303663166	10.83	1
30932	33574	2.141983829	7.22	1
41897	41913	0.956310690864	3.61	1
35384	45518	3.91726256718	14.44	1
31522	33420	2.4151606441	8.1225	1
47387	51511	0.619576845333	1.805	1
41495	45557	2.94248293995	12.635	1
37113	39234	2.76897877765	9.9275	1
46245	48894	2.52907797226	13.5375	1
39814	41979	13.1624808898	58.6625	1
33314	41485	1.57706171786	7.22	1
44549	51947	2.22939845849	7.22	1
43758	47527	3.96241635753	14.44	1
31394	33264	3.55226003514	11.7325	1
43456	48090	5.10508872849	19.855	1
47159	49397	3.99510119689	14.44	1
37653	47402	1.96804964993	8.1225	1
31952	36895	2.54147424683	12.635	1
45066	48459	3.1919526526	6.3175	1
32493	41272	3.5747086878	12.635	1
36403	45236	6.3885332518	28.88	1
35390	40604	11.7606699313	55.0525	1
41271	46666	6.86913708853	28.88	1
47338	50258	2.4485891888	5.415	1
38341	39835	3.31988462293	7.22	1
39048	42878	4.20841617897	18.05	1
37985	40445	3.2263117504	10.83	1
34307	36572	1.67380459588	9.025	1
37981	40713	1.54636611639	3.61	1
33964	42939	2.91337553171	15.3425	1
44972	45412	1.82047845325	1.805	1
33357	37296	12.0403510056	61.37	1
44122	51251	0.819596099568	2.7075	1
39031	49118	0.766983211647	1.805	1
46245	51581	10.5216347802	46.93	1
34023	41222	2.80174311032	14.44	1
40115	45887	1.29003942627	5.415	1
31378	34711	1.8806334531	4.5125	1
34837	38877	7.72650166397	33.3925	1
47534	48568	7.3732112534	32.49	1
34058	34103	2.07622938765	9.9275	1
39449	43634	2.23649145142	5.415	1
38811	43863	1.74962271732	2.7075	1
35188	51359	5.89165267967	26.1725	1
31479	50125	1.46841059259	3.61	1
45326	48508	0.84143951679	1.805	1
31446	39288	14.8709399178	72.2	1
32048	35156	2.70564708805	11.7325	1
45994	50601	2.51503695608	8.1225	1
33714	45148	3.04840928245	9.9275	1
31428	36120	4.44982446444	21.66	1
31820	34456	0	0.0	1
36228	38968	0.410475452744	1.805	1
41271	48073	0.52754432296	2.7075	1
42937	51763	2.11469520212	3.61	1
49265	49418	7.7559037166	37.905	1
39103	40636	11.8259054064	55.0525	1
30923	31197	0.536433482389	2.7075	1
43023	50354	4.91181093749	18.05	1
45944	51848	7.44311139365	33.3925	1
34675	46374	2.57877303542	6.3175	1
34948	35174	4.03982427388	21.66	1
43882	51631	3.67059645928	11.7325	1
47427	48958	3.19739337592	8.1225	1
31428	51924	6.48661803642	26.1725	1
37422	44280	11.4299734426	55.0525	1
35000	46181	4.84066134624	18.05	1
32201	50614	12.0183354827	50.54	1
36207	43986	4.18447065411	15.3425	1
32783	37984	11.8582799171	53.2475	1
47732	49378	2.60548147099	13.5375	1
38088	43649	4.37426778054	21.66	1
42563	46679	1.44269504089	0.9025	1
36461	48682	4.95225285929	18.05	1
43284	46839	2.20606710391	8.1225	1
33561	35857	1.29327044561	5.415	1
34682	44880	5.65760942981	19.855	1
36296	51705	3.97628588493	16.245	1
42937	48557	8.77732358907	28.88	1
31700	37781	0.87672505087	3.61	1
38600	41119	4.87519233675	24.3675	1
42937	45382	2.5873163429	12.635	1
34768	47430	2.80189856757	9.9275	1
31446	41899	3.09009849431	11.7325	1
37503	42404	1.33437856954	3.61	1
39834	42919	6.01788889566	31.5875	1
35188	36897	3.77179110969	13.5375	1
35106	47395	2.65332321718	7.22	1
49894	51157	1.82047845325	1.805	1
31093	42515	2.0677845863	7.22	1
31287	34409	1.56925586336	4.5125	1
41271	43279	2.79095079109	9.9275	1
31902	51661	0.868588963807	1.805	1
33952	40559	3.18035139834	11.7325	1
34195	48570	2.60929324707	9.025	1
30999	32613	1.70265179775	5.415	1
37899	50560	1.21131682621	2.7075	1
33292	38742	1.09088530086	5.415	1
36926	41875	10.9219738218	55.955	1
43160	45797	0.783528977357	3.61	1
43807	46296	4.75333642686	19.855	1
46146	49636	4.91780822433	18.05	1
40052	47946	2.98134882869	8.1225	1
46595	51752	3.00762174034	8.1225	1
37850	46969	4.80974378732	24.3675	1
37890	45024	4.32174605806	18.05	1
33887	51413	2.77741284076	12.635	1
31158	48645	18.6177519398	92.9575	1
47307	50821	1.98143044286	9.025	1
35121	41451	2.09865201698	9.025	1
39608	45344	8.18163734904	38.8075	1
42835	47224	5.13499626852	16.245	1
33715	37043	1.09624293965	4.5125	1
40604	49009	2.1833241789	8.1225	1
32166	39349	2.38438676027	5.415	1
35334	41355	6.99465464483	36.1	1
45645	48014	5.79838424423	16.245	1
44706	49342	4.76499734554	14.44	1
